index	FileName	scented	fn1	fn2	fn3	fn4	fn5	fn6	fn7	fn8	sample	rowSum	Cluster	type	pop	sample_year	plant	rundate	GCn
1187	Lupinus_bur_20_6_8112021_02.qgd		Lupinus	bur	20	6	8112021	2	qgd		Lupinus_bur_20_6_8112021_02	460964360	6	floral	bur	20	6	8112021	2
1188	Lupinus_bur_20_air_1_8112021_03.qgd		Lupinus	bur	20	air	1	8112021	3	qgd	Lupinus_bur_20_air_1_8112021_03	690634215	5	ambient	bur	20	1	8112021	3
1189	Lupinus_bur_20_1_8112021_04.qgd		Lupinus	bur	20	1	8112021	4	qgd		Lupinus_bur_20_1_8112021_04	340554524	6	floral	bur	20	1	8112021	4
1190	Lupinus_bur_20_7_8112021_05.qgd		Lupinus	bur	20	7	8112021	5	qgd		Lupinus_bur_20_7_8112021_05	403531076	6	floral	bur	20	7	8112021	5
1191	Lupinus_bur_20_2_8112021_06.qgd		Lupinus	bur	20	2	8112021	6	qgd		Lupinus_bur_20_2_8112021_06	320499176	6	floral	bur	20	2	8112021	6
1192	Lupinus_bur_20_5_8112021_07.qgd		Lupinus	bur	20	5	8112021	7	qgd		Lupinus_bur_20_5_8112021_07	361575748	6	floral	bur	20	5	8112021	7
1193	Lupinus_bur_20_4_8112021_08.qgd		Lupinus	bur	20	4	8112021	8	qgd		Lupinus_bur_20_4_8112021_08	336029526	6	floral	bur	20	4	8112021	8
1194	Lupinus_bur_20_8_8112021_09.qgd		Lupinus	bur	20	8	8112021	9	qgd		Lupinus_bur_20_8_8112021_09	884390288	5	floral	bur	20	8	8112021	9
1195	Lupinus_bur_20_3_8112021_10.qgd		Lupinus	bur	20	3	8112021	10	qgd		Lupinus_bur_20_3_8112021_10	517306032	5	floral	bur	20	3	8112021	10
1196	Lupinus_eml_20_3_8112021_11.qgd		Lupinus	eml	20	3	8112021	11	qgd		Lupinus_eml_20_3_8112021_11	124280634	6	floral	eml	20	3	8112021	11
1197	Lupinus_eml_20_air_2_8112021_12.qgd		Lupinus	eml	20	air	2	8112021	12	qgd	Lupinus_eml_20_air_2_8112021_12	107929436	6	ambient	eml	20	2	8112021	12
1198	Lupinus_eml_20_5_8112021_13.qgd		Lupinus	eml	20	5	8112021	13	qgd		Lupinus_eml_20_5_8112021_13	170616941	6	floral	eml	20	5	8112021	13
1199	Lupinus_eml_20_4_8112021_14.qgd		Lupinus	eml	20	4	8112021	14	qgd		Lupinus_eml_20_4_8112021_14	689051059	5	floral	eml	20	4	8112021	14
1200	Lupinus_eml_20_8_8112021_15.qgd		Lupinus	eml	20	8	8112021	15	qgd		Lupinus_eml_20_8_8112021_15	163866726	6	floral	eml	20	8	8112021	15
1201	Lupinus_eml_20_6_8112021_16.qgd		Lupinus	eml	20	6	8112021	16	qgd		Lupinus_eml_20_6_8112021_16	498847166	5	floral	eml	20	6	8112021	16
1202	Lupinus_eml_20_7_8112021_17.qgd		Lupinus	eml	20	7	8112021	17	qgd		Lupinus_eml_20_7_8112021_17	172271746	6	floral	eml	20	7	8112021	17
1203	Lupinus_npb_20_5_8112021_18.qgd		Lupinus	npb	20	5	8112021	18	qgd		Lupinus_npb_20_5_8112021_18	126260060	6	floral	npb	20	5	8112021	18
1205	Lupinus_npb_20_4_8112021_20.qgd		Lupinus	npb	20	4	8112021	20	qgd		Lupinus_npb_20_4_8112021_20	287864917	6	floral	npb	20	4	8112021	20
1207	Lupinus_npb_20_3_8122021_02.qgd		Lupinus	npb	20	3	8122021	2	qgd		Lupinus_npb_20_3_8122021_02	296922860	6	floral	npb	20	3	8122021	2
1208	Lupinus_npb_20_1_8122021_03.qgd		Lupinus	npb	20	1	8122021	3	qgd		Lupinus_npb_20_1_8122021_03	23383816	7	floral	npb	20	1	8122021	3
1209	Lupinus_npb_20_air_1_8122021_04.qgd		Lupinus	npb	20	air	1	8122021	4	qgd	Lupinus_npb_20_air_1_8122021_04	289972384	6	ambient	npb	20	1	8122021	4
1210	Lupinus_npb_20_2_8122021_05.qgd		Lupinus	npb	20	2	8122021	5	qgd		Lupinus_npb_20_2_8122021_05	238608422	6	floral	npb	20	2	8122021	5
1211	Lupinus_bvb_20_3_8122021_06.qgd		Lupinus	bvb	20	3	8122021	6	qgd		Lupinus_bvb_20_3_8122021_06	1067248031	5	floral	bvb	20	3	8122021	6
1212	Lupinus_bvb_20_1_8122021_07.qgd		Lupinus	bvb	20	1	8122021	7	qgd		Lupinus_bvb_20_1_8122021_07	158966873	6	floral	bvb	20	1	8122021	7
1213	Lupinus_bvb_20_2_8122021_08.qgd		Lupinus	bvb	20	2	8122021	8	qgd		Lupinus_bvb_20_2_8122021_08	192840851	6	floral	bvb	20	2	8122021	8
1214	Lupinus_bvb_20_6_8122021_09.qgd		Lupinus	bvb	20	6	8122021	9	qgd		Lupinus_bvb_20_6_8122021_09	478456573	5	floral	bvb	20	6	8122021	9
1215	Lupinus_bvb_20_air_1_8122021_10.qgd		Lupinus	bvb	20	air	1	8122021	10	qgd	Lupinus_bvb_20_air_1_8122021_10	1084311596	5	ambient	bvb	20	1	8122021	10
1216	Lupinus_brc_20_1_8122021_11.qgd		Lupinus	brc	20	1	8122021	11	qgd		Lupinus_brc_20_1_8122021_11	1291509238	5	floral	brc	20	1	8122021	11
1217	Lupinus_lerb_20_3_8122021_12.qgd		Lupinus	lerb	20	3	8122021	12	qgd		Lupinus_lerb_20_3_8122021_12	786945357	5	floral	lerb	20	3	8122021	12
1218	Lupinus_brc_20_7_8122021_13.qgd		Lupinus	brc	20	7	8122021	13	qgd		Lupinus_brc_20_7_8122021_13	219262680	6	floral	brc	20	7	8122021	13
1219	Lupinus_lerb_20_7_8122021_14.qgd		Lupinus	lerb	20	7	8122021	14	qgd		Lupinus_lerb_20_7_8122021_14	279660306	6	floral	lerb	20	7	8122021	14
1220	Lupinus_brc_20_6_8122021_15.qgd		Lupinus	brc	20	6	8122021	15	qgd		Lupinus_brc_20_6_8122021_15	842446536	5	floral	brc	20	6	8122021	15
1221	Lupinus_lerb_20_6_8122021_16.qgd		Lupinus	lerb	20	6	8122021	16	qgd		Lupinus_lerb_20_6_8122021_16	183666100	6	floral	lerb	20	6	8122021	16
1222	Lupinus_brc_20_5_8122021_17.qgd		Lupinus	brc	20	5	8122021	17	qgd		Lupinus_brc_20_5_8122021_17	288062284	6	floral	brc	20	5	8122021	17
1223	Lupinus_lerb_20_8_8122021_18.qgd		Lupinus	lerb	20	8	8122021	18	qgd		Lupinus_lerb_20_8_8122021_18	702997578	5	floral	lerb	20	8	8122021	18
1224	Lupinus_lerb_20_air_1_8122021_19.qgd		Lupinus	lerb	20	air	1	8122021	19	qgd	Lupinus_lerb_20_air_1_8122021_19	778423075	5	ambient	lerb	20	1	8122021	19
1225	Lupinus_brc_20_2_8122021_20.qgd		Lupinus	brc	20	2	8122021	20	qgd		Lupinus_brc_20_2_8122021_20	982125123	5	floral	brc	20	2	8122021	20
1226	Lupinus_eml_20_air_1_8132021_01.qgd		Lupinus	eml	20	air	1	8132021	1	qgd	Lupinus_eml_20_air_1_8132021_01	95395124	7	ambient	eml	20	1	8132021	1
1227	Lupinus_npb_20_1_8132021_02.qgd		Lupinus	npb	20	1	8132021	2	qgd		Lupinus_eml_20_air_1_8132021_01	210315547	6	ambient	eml	20	1	8132021	1
1228	Lupinus_eml_20_1_8132021_03.qgd		Lupinus	eml	20	1	8132021	3	qgd		Lupinus_npb_20_1_8132021_02	22722675	7	floral	npb	20	1	8132021	2
1229	Lupinus_eml_20_2_8132021_04.qgd		Lupinus	eml	20	2	8132021	4	qgd		Lupinus_eml_20_1_8132021_03	1092327589	5	floral	eml	20	1	8132021	3
1230	Lupinus_chs_20_2_8132021_05.qgd		Lupinus	chs	20	2	8132021	5	qgd		Lupinus_eml_20_2_8132021_04	912897515	5	floral	eml	20	2	8132021	4
1231	Lupinus_chs_20_air_1_8132021_06.qgd		Lupinus	chs	20	air	1	8132021	6	qgd	Lupinus_chs_20_2_8132021_05	882571336	5	floral	chs	20	2	8132021	5
1232	Lupinus_chs_20_4_8132021_07.qgd		Lupinus	chs	20	4	8132021	7	qgd		Lupinus_chs_20_air_1_8132021_06	131816926	6	ambient	chs	20	1	8132021	6
1233	Lupinus_chs_20_1_8132021_08.qgd		Lupinus	chs	20	1	8132021	8	qgd		Lupinus_chs_20_4_8132021_07	921837634	5	floral	chs	20	4	8132021	7
1234	Lupinus_chs_20_3_8132021_09.qgd		Lupinus	chs	20	3	8132021	9	qgd		Lupinus_chs_20_1_8132021_08	1068206050	5	floral	chs	20	1	8132021	8
