index	JH.name	shortname	note	quant35	class	standard	name	median.ambient	median.floral	mean.nonzero.ambient	mean.nonzero.floral	mean.ambient	mean.floral	max.ambient	max.floral	match.var	match	RT.var	RT	count.ambient	freq.ambient	count.floral	freq.floral	filter_RT	filter_match	filter_freq.floral	filter_contaminant	filter_area	filter_ambient_ratio	ambient_ratio	ambient_pvalue	filter_ambient_ttest	filters_passed	filter_final
1	Ethyl.vinyl.carbinol	pent-1-en-3-ol	check RT.var	1	aliphatic	Hexenol	1-Penten-3-ol	0	0	NA	264587	0	87820	0	1746366	0.00	0.91	0.71	2.96	0	0	78	0.3319148936	OK	OK	OK	OK	OK	OK	Inf	3.21E-07	OK	7	TRUE
2	Ethyl.propionyl	pentan-3-one	merge?	1	aliphatic	Hexenol	3-Pentanone	0	0	NA	2306523	0	785199	0	12333111	0.00	0.94	0.00	3.12	0	0	80	0.3404255319	OK	OK	OK	OK	OK	OK	Inf	3.78E-09	OK	7	TRUE
3	Cyclopentanol	cyclopentanol	merge?	1	aliphatic	Hexenol	Cyclopentanol	0	0	NA	1205750	0	364290	0	3145872	0.00	0.90	0.07	3.15	0	0	71	0.3021276596	OK	OK	OK	OK	OK	OK	Inf	1.68E-10	OK	7	TRUE
4	Pentyl.alcohol	pentan-1-ol		1	aliphatic	Hexenol	1-Pentanol	0	51220	69304	180436	8250	105958	124278	1650769	0.00	0.88	0.03	3.69	5	0.119047619	138	0.5872340426	OK	OK	OK	OK	OK	OK	12.8	2.78E-09	OK	7	TRUE
5	Prenol	3-methylbut-2-en-1-ol		1	aliphatic	Hexenol	Prenol	0	0	NA	185298	0	25232	0	1105255	0.01	0.83	0.01	4.33	0	0	32	0.1361702128	OK	OK	OK	OK	OK	OK	Inf	3.56E-02	OK	7	TRUE
6	Cyclopentanone	cyclopentanone	check RT.var	1	aliphatic	Hexenol	Cyclopentanone	0	0	969640	3079138	138520	1113731	1990067	21594085	0.00	0.94	0.41	4.56	6	0.1428571429	85	0.3617021277	OK	OK	OK	OK	OK	OK	8.0	2.09E-04	OK	7	TRUE
7	three.Hexenol	(Z)-hex-3-en-1-ol	merge	1	aliphatic	Hexenol	3-Hexen-1-ol, (Z)-	0	0	NA	609278	0	103707	0	1466556	0.00	0.91	0.00	5.76	0	0	40	0.170212766	OK	OK	OK	OK	OK	OK	Inf	5.98E-06	OK	7	TRUE
8		(Z)-hex-3-en-1-ol	merge	1	aliphatic	Hexenol	4-Hexen-1-ol, (Z)-	0	0	747181	2828228	17790	553611	747181	12882301	0.00	0.90	0.00	5.73	1	0.02380952381	46	0.1957446809	OK	OK	OK	OK	OK	OK	31.1	6.29E-04	OK	7	TRUE
9	Hexyl.formic.acid	hexyl formate		1	aliphatic	Hexenol	Formic acid, hexyl ester	0	0	NA	1762428	0	352486	0	5507197	0.00	0.94	0.11	6.00	0	0	47	0.2	OK	OK	OK	OK	OK	OK	Inf	4.24E-06	OK	7	TRUE
10	Anisole	anisole		1	benzenoid	Methyl_salicylate	Anisole	0	0	NA	242211	0	84516	0	5148469	0.00	0.89	0.00	6.88	0	0	82	0.3489361702	OK	OK	OK	OK	OK	OK	Inf	5.62E-02	OK	7	TRUE
11		4-methylpentanoic acid	new for 2025	RTvar	aliphatic	Hexenol	Pentanoic acid, 4-methyl-	0	0	33886	271996	13716	71761	149017	14823959	0.00	0.81	0.45	7.38	17	0.4047619048	62	0.2638297872	OK	OK	OK	OK	OK	OK	5.2	4.61E-01	tTestFail	6	TRUE
