index,sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,desorb.Start.diff,verdict,FileName,sample,user,FullName,id,fuzzy_n
1,2025-06-13T16:24:20Z,2024-07-26T18:53:39Z,NA,2024-07-26T18:53:39Z,NA NA,1,1,NA,1,NA,NA,NA,mismatch,NA,,NA,NA,83c90dde-fed8-428b-b0ca-10d4bfef8f05,1
2,2025-06-13T17:08:42Z,2025-06-14T00:13:26Z,NA,2025-06-14T00:13:26Z,Desorbed NA,1,1,NA,1,NA,NA,27839987,,NA,,NA,NA,f34d4860-d841-49e1-85b5-03806f584813,1
3,2025-06-14T08:52:03Z,2025-06-14T15:56:47Z,2025-06-14T15:51:55Z,2025-06-14T15:51:55Z,Desorbed NA,1,1,1,1,0,292,56601,,DC_test1_blank_150614_6142025_01.qgd,,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/GCMS 2024/DC_test1_blank_150614_6142025_01.qgd,16cc0710-d83b-4ad6-8671-97fe8e11372e,1
4,2025-06-16T15:50:26Z,NA,NA,NA,NA NA,1,1,NA,1,NA,NA,NA,bakeout,NA,,NA,NA,e831c97a-605e-478e-9e52-a336906ba171,1
5,2025-06-16T15:52:56Z,NA,NA,NA,NA NA,1,1,NA,1,NA,NA,NA,bakeout,NA,,NA,NA,d37f11c0-8a58-4928-b397-14b03c3c906e,1
6,2025-06-16T15:54:28Z,NA,NA,NA,NA NA,1,1,NA,1,NA,NA,NA,bakeout,NA,,NA,NA,017362f5-8065-4d2f-87af-83916e1d9ed8,1
7,2025-06-16T15:55:29Z,NA,NA,NA,NA NA,2,1,NA,1,NA,NA,NA,bakeout,NA,,NA,NA,c78351d8-41ec-418f-94a3-abbdb893649d,1
8,2025-06-16T15:56:06Z,NA,NA,NA,NA NA,2,1,NA,1,NA,NA,NA,bakeout,NA,,NA,NA,91adff76-137c-4370-b773-da9b808fbae6,1
9,2025-06-16T16:03:45Z,NA,NA,NA,NA NA,2,1,NA,1,NA,NA,NA,bakeout,NA,,NA,NA,dcd014e8-1b00-48a0-b34b-c3e23eac9a81,1
10,2025-06-16T16:06:15Z,NA,NA,NA,NA NA,2,1,NA,1,NA,NA,NA,bakeout,NA,,NA,NA,cabaabaa-fa19-4e80-be39-187ba40fece0,1
11,2025-06-16T16:10:25Z,NA,NA,NA,NA NA,2,1,NA,1,NA,NA,NA,bakeout,NA,,NA,NA,b8824d50-e79b-40fe-ba0b-bafbf60f256e,1
12,2025-06-16T16:20:39Z,NA,NA,NA,NA NA,1,1,NA,1,NA,NA,NA,bakeout,NA,,NA,NA,a916c796-b369-4aa9-8b24-946267d8482f,1
13,2025-06-16T16:29:48Z,2025-06-16T23:33:16Z,2025-06-16T23:17:25Z,2025-06-16T23:17:25Z,Desorbed NA,1,1,NA,1,NA,951,NA,,Markes test 14.qgd,,NA,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 14.qgd,aa2594c1-07ef-4b4e-82a1-3990c176259a,2
14,2025-06-16T16:29:48Z,2025-06-16T23:33:16Z,2025-06-16T23:29:36Z,2025-06-16T23:29:36Z,Desorbed NA,1,1,1,1,0,220,0,,DC_test1_blank_150616_6162025_01.qgd,,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/GCMS 2024/DC_test1_blank_150616_6162025_01.qgd,aa2594c1-07ef-4b4e-82a1-3990c176259a,2
15,2025-06-16T17:06:47Z,2025-06-17T00:30:09Z,NA,2025-06-17T00:30:09Z,Desorbed NA,1,1,NA,1,NA,NA,3413,,NA,,NA,NA,2cff82da-800d-4cee-88ed-e245f99163d7,1
