name,median.ambient,median.floral,mean.nonzero.ambient,mean.nonzero.floral,mean.ambient,mean.floral,max.ambient,max.floral,match.var,match,RT.var,RT,count.ambient,freq.ambient,count.floral,freq.floral,filter_RT,filter_match,filter_freq.floral,filter_contaminant,filter_area,filter_ambient_ratio,ambient_ratio,ambient_pvalue,filter_ambient_ttest,filters_passed,filter_final
.alpha.-Guaiene,0,0,39310,508143.9830508475,1511.923076923077,193422.5483870968,39310,2650333,0.005559890710382514,0.9,0.007130176502732245,15.007,1,0.038461538461538464,59,0.38064516129032255,OK,OK,OK,OK,OK,OK,127.93147438474985,2.0193485741878226e-4,OK,7,TRUE
.beta.-copaene,0,0,NA,625617.3125,0,64579.85161290323,0,2025203,0.004172916666666668,0.81,0.1375903833333333,15.587499999999999,0,0,16,0.1032258064516129,OK,OK,OK,OK,OK,OK,Inf,0.2196606425408827,OK,7,TRUE
.beta.-Myrcene,0,794474,469976.4285714286,3292047.132743363,126532.11538461539,2400008.5548387095,1021056,26965257,8.239059748001618e-4,0.93,0.0043252974529196615,8.175,7,0.2692307692307692,113,0.7290322580645161,OK,OK,OK,OK,OK,OK,18.967584217994656,3.0067577446714263e-6,OK,7,TRUE
.beta.-Ocimene,0,892621,141719.54545454544,8594827.892857144,59958.269230769234,7763070.354838709,422497,103597552,0.0025932299958106395,0.95,0.0354103646418098,9.146,11,0.4230769230769231,140,0.9032258064516129,OK,OK,OK,OK,OK,OK,129.4745571283915,5.706016965635554e-5,OK,7,TRUE
(-)-.alpha.-Panasinsen,0,0,NA,275896.03125,0,56959.180645161294,0,1513727,0.0027216733870967743,0.85,3.082419354838709e-4,16.213,0,0,32,0.2064516129032258,OK,OK,OK,OK,OK,OK,Inf,0.02130025466152557,OK,7,TRUE
"(1R,3aS,8aS)-7-Isopropyl-1,4-dimethyl-1,2,3,3a,6,8a-hexahydroazulene",0,0,NA,1072730.2985074627,0,463696.32258064515,0,4406242,0.0028134108867427553,0.94,0.012969156277436342,15.074,0,0,67,0.432258064516129,OK,OK,OK,OK,OK,OK,Inf,3.0067577446714263e-6,OK,7,TRUE
"(3E,5E)-2,6-Dimethylocta-3,5,7-trien-2-ol",0,0,NA,694599.65,0,89625.76129032258,0,4855255,0.002064761904761905,0.87,0.07971584761904754,11.642,0,0,20,0.12903225806451613,OK,OK,OK,OK,OK,OK,Inf,0.38307823650263556,OK,7,TRUE
"(4aR,8aS)-4a-Methyl-1-methylene-7-(propan-2-ylidene)decahydronaphthalene",0,0,NA,1070027.2340425532,0,324459.87096774194,0,5740890,5.97239692522712e-4,0.9,0.07055635534591186,15.173,0,0,47,0.3032258064516129,OK,OK,OK,OK,OK,OK,Inf,0.00231696792225716,OK,7,TRUE
(E)-4-Oxohex-2-enal,0,30602,106164.42857142857,247281.7,28582.73076923077,127629.26451612903,164908,6446340,0.002572600908847902,0.89,5.866634589681907e-4,7.597,7,0.2692307692307692,80,0.5161290322580645,OK,OK,OK,OK,OK,OK,4.465257905081679,0.4079262764795444,tTestFail,6,TRUE
"[1,1'-Bicyclopentyl]-2-one",0,167898,276938,588587.0681818182,31954.384615384617,334165.56129032257,359991,3716499,0.0016760439560439563,0.86,6.44338461538457e-4,12.904,3,0.11538461538461539,88,0.567741935483871,OK,OK,OK,OK,OK,OK,10.457580870746504,9.908487935895542e-7,OK,7,TRUE
