Filename	pent-1-en-3-ol	pentan-3-one	pentan-1-ol	cyclopentanone	(Z)-hex-3-en-1-ol	hexyl formate	anisole	(E)-4-oxohex-2-enal	b-myrcene	phenylmethanol	(Z)-b-ocimene	(E)-b-ocimene	3-ethenyl-1,2-dimethylcyclohexa-1,4-diene	2-methoxyethylbenzene	2-phenylethanol	allo-ocimene	cosmene	2,6-dimethylocta-3,5,7-trien-2-ol	2,3-dihydro-1-benzofuran	indole	ylangene	b-elemene	germacrene B	a-guaiene	guaia-6,9-diene	g-selinene	a-gurjunene	a-panasinsene	(3E)-hex-3-en-1-yl acetate	3,4-dimethylocta-2,4,6-triene	carveol	cyclopentanol	3-methylbut-2-en-1-ol	2-methyl-6-methylideneocta-1,7-dien-3-one
4011_08282019.qgd	35639	457197	9629	110975	93068	318089	26077	18389	390056	25532	35427	50697	0	0	8138	5655	9323	0	0	2073	8596	0	4759	0	50097	32891	0	0	29171	5655	0	457197	0	9126
4012_08282019.qgd	9802	0	0	0	70994	301775	39796	0	263949	0	173095	66197	3048	5219	15091	45499	12115	0	37426	3174	7649	0	0	0	31625	21647	0	0	38143	45499	9728	0	0	0
4013_08282019.qgd	193007	1985478	26131	133986	106627	348297	54130	30429	664067	0	153760	245606	5322	198750	15689	38270	17994	0	113252	2309	8799	0	10763	11836	68619	41079	0	4921	44861	38270	0	1985478	0	15755
4014_08282019.qgd	28707	340934	3750	56215	0	33033	1878	7585	160258	14116	110696	156159	0	0	4495	14025	0	0	15130	5489	0	0	0	0	9392	3917	0	0	11945	14025	0	340934	0	0
4015_08282019.qgd	62774	134622	24928	50838	96487	101642	11747	11455	377181	17972	97286	173751	2140	7469	12512	18041	12347	0	4607	8436	0	0	0	6560	35660	20576	4934	5824	50299	18041	0	134622	0	0
4016_08282019.qgd	7365	84352	0	32744	17553	19712	1429	7367	131139	10679	30691	21514	0	2180	2867	5748	3896	0	3094	5436	0	0	0	0	2031	0	0	0	16007	5748	0	0	0	0
4017_08292019am.qgd	9816	0	0	0	14173	66288	3207	7433	43467	0	26346	26252	0	7544	9184	6817	4394	0	8847	5073	3645	0	0	5231	25364	15451	3646	4256	4867	6817	0	0	0	0
bcn1_08302019am.qgd	285162	1060083	56844	5027116	152976	474688	12924	18874	2304140	0	275433	2928319	16578	3579086	428062	92940	55351	0	23174	539326	51507	48216	93401	93644	437005	243919	80749	77519	68345	92940	0	1060083	12068	42719
bcn2_08302019am.qgd	23188	0	0	7501766	62115	410358	18328	0	898025	0	366193	3949709	19791	1765198	77054	91102	84367	14608	67497	21461	39754	56204	87147	67047	394865	216846	55826	63434	14050	91102	0	1570966	0	11294
bcn3_08302019am.qgd	26357	207468	5835	599198	19914	28882	1237	0	387955	10522	31995	80706	2039	6622	6508	7413	8019	0	5430	3920	0	2920	3912	0	15245	8384	2177	3672	14922	7413	0	207468	0	5390
bcn4_08302019am.qgd	39399	414395	7575	356288	15892	44315	4398	612	152901	6313	64393	90104	0	291055	39962	13629	8407	0	297279	5637	0	0	5001	0	32710	13306	3427	0	1246	13629	0	414395	0	0
BellNFlr27Aug18_08202018.qgd	7399	18982	0	0	0	261700	29858	9276	201049	0	287966	1093715	5578	313000	64443	24902	24299	0	0	14045	6852	0	2644	11543	11676	0	0	4971	0	0	0	18982	0	4715
BellNFlr29Aug18_08202018.qgd	62579	188867	5215	0	20304	151936	25534	0	78621	0	98421	0	0	5441	3225	1779	0	0	0	648	966	1393	1535	2648	2648	0	0	0	0	0	0	188867	0	3191
BellNFlr30Aug16_08202018.qgd	141138	292214	16115	46289	43957	221049	23499	0	341250	0	471366	1863930	8547	44689	22638	67725	37283	0	0	0	18559	0	4480	20896	20896	0	0	3626	0	0	0	292214	2269	13745
