name	value	Name
pent-1-en-3-ol	51235.18336891336	1-Penten-3-ol
pentan-3-one	54725.474210273656	3-Pentanone
pentan-1-ol	19063.385269178496	1-Pentanol
cyclopentanone	40934.17697991539	Cyclopentanone
(Z)-hex-3-en-1-ol	18188.403321986312	3-Hexen-1-ol, (Z)-
(Z)-hex-3-en-1-ol	18188.403321986312	4-Hexen-1-ol, (Z)-
hexyl formate	26298.770491631167	Formic acid, hexyl ester
anisole	49347.40708140715	Anisole
(E)-4-oxohex-2-enal	52849.039606739214	(E)-4-Oxohex-2-enal
b-myrcene	7288.320257610352	.beta.-Myrcene
phenylmethanol	19179.10852655787	Benzyl alcohol
(Z)-b-ocimene	9315.799800296607	trans-.beta.-Ocimene
(E)-b-ocimene	9266.390163385784	.beta.-Ocimene
3-ethenyl-1,2-dimethylcyclohexa-1,4-diene	1172.863141098637	1,4-Cyclohexadiene, 3-ethenyl-1,2-dimethyl-
2-methoxyethylbenzene	70602.35372742753	Benzene, (2-methoxyethyl)-
2-phenylethanol	39762.4665575352	Phenylethyl Alcohol
allo-ocimene	8513.190662801466	2,4,6-Octatriene, 2,6-dimethyl-, (E,Z)-
cosmene	6834.8321324949875	2,6-Dimethyl-1,3,5,7-octatetraene, E,E-
2,6-dimethylocta-3,5,7-trien-2-ol	27497.62935726721	(3E,5E)-2,6-Dimethylocta-3,5,7-trien-2-ol
2,3-dihydro-1-benzofuran	31730.20880857263	Benzofuran, 2,3-dihydro-
indole	11628.811129742291	Indole
ylangene	6086.052931280078	Ylangene
b-elemene	11230.16192999545	Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, [1S-(1.alpha.,2.beta.,4.beta.)]-
germacrene B	12789.034731542582	1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethylidene)-, (E,E)-
a-guaiene	14256.306643164276	.alpha.-Guaiene
guaia-6,9-diene	25493.84359218612	(1R,3aS,8aS)-7-Isopropyl-1,4-dimethyl-1,2,3,3a,6,8a-hexahydroazulene
g-selinene	13605.579465587663	(4aR,8aS)-4a-Methyl-1-methylene-7-(propan-2-ylidene)decahydronaphthalene
a-gurjunene	7135.026802122403	1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,7-tetramethyl-, [1aR-(1a.alpha.,4.alpha.,4a.beta.,7b.alpha.)]-
a-panasinsene	37884.23564688892	(-)-.alpha.-Panasinsen
(3E)-hex-3-en-1-yl acetate	29754.328344566475	3-Hexen-1-ol, acetate, (E)-
3,4-dimethylocta-2,4,6-triene	21256.488404448988	2,4,6-Octatriene, 3,4-dimethyl-
carveol	2173.9096636959725	Carveol
cyclopentanol	35820.881753850634	Cyclopentanol
3-methylbut-2-en-1-ol	23416.205578252215	Prenol
2-methyl-6-methylideneocta-1,7-dien-3-one	3725.5100776975314	1,7-Octadien-3-one, 2-methyl-6-methylene-
